Year,GHG,Sector,Subsector,Amount
1990,CO2,Energy,Industrial,162232.413919153
1990,CO2,Energy,Manufacture,56488.6002263955
1990,CO2,Energy,Transport,153384.50606962
1990,CO2,Energy,Other,33024.673605
1990,CO2,Energy,Fugitive emissions,35233.7082732723
1990,CO2,Industrial processes,Mineral,35233.7082732723
1990,CO2,Industrial processes,Chemical,1348.5
1990,CO2,Industrial processes,Metallurgy,5499.229
1990,CO2,Agricuture,Fermentation,0
1990,CO2,Agricuture,Manure,0
1990,CO2,Agricuture,Rice farming,0
1990,CO2,Agricuture,Soil treatment,0
1990,CO2,Agricuture,Fires,0
1990,CO2,Silviculture,Silviculture,45669.6435270232
1990,CO2,Waste management,Elimination of solid waste,
1990,CO2,Waste management,Bio-treatment of solid waste,
1990,CO2,Waste management,Incineration,569.3568301794
1990,CO2,Waste management,Waste water,
1990,CH4,Energy,Industrial,163.9390218942
1990,CH4,Energy,Manufacture,78.5333084883
1990,CH4,Energy,Transport,469.6972968629
1990,CH4,Energy,Other,1134.0443856
1990,CH4,Energy,Fugitive emissions,83119.7721573818
1990,CH4,Industrial processes,Mineral,0
1990,CH4,Industrial processes,Chemical,69.9527071233
1990,CH4,Industrial processes,Metallurgy,0
1990,CH4,Agricuture,Fermentation,37961.494856208
1990,CH4,Agricuture,Manure,1105.9769426654
1990,CH4,Agricuture,Rice farming,137.751138
1990,CH4,Agricuture,Soil treatment,0
1990,CH4,Agricuture,Fires,41.7703438961
1990,CH4,Silviculture,Silviculture,1110.1060177663
1990,CH4,Waste management,Elimination of solid waste,22117.7400655388
1990,CH4,Waste management,Bio-treatment of solid waste,249.697644
1990,CH4,Waste management,Incineration,501.8257881
1990,CH4,Waste management,Waste water,18454.1248700822
1990,N2O,Energy,Industrial,572.893828697
1990,N2O,Energy,Manufacture,173.6856798103
1990,N2O,Energy,Transport,12557.7532905692
1990,N2O,Energy,Other,417.11895
1990,N2O,Energy,Fugitive emissions,0
1990,N2O,Industrial processes,Mineral,0
1990,N2O,Industrial processes,Chemical,130.4139
1990,N2O,Industrial processes,Metallurgy,0
1990,N2O,Agricuture,Fermentation,0
1990,N2O,Agricuture,Manure,6447.4961904728
1990,N2O,Agricuture,Rice farming,0
1990,N2O,Agricuture,Soil treatment,46479.7585913414
1990,N2O,Agricuture,Fires,10.1740623347
1990,N2O,Silviculture,Silviculture,112.6625452555
1990,N2O,Waste management,Elimination of solid waste,0
1990,N2O,Waste management,Bio-treatment of solid waste,127.0566
1990,N2O,Waste management,Incineration,168.7506421
1990,N2O,Waste management,Waste water,1942.2955164869
1991,CO2,Energy,Industrial,106565.501500531
1991,CO2,Energy,Manufacture,50755.8517671226
1991,CO2,Energy,Transport,93813.5589090294
1991,CO2,Energy,Other,28032.625137
1991,CO2,Energy,Fugitive emissions,0
1991,CO2,Industrial processes,Mineral,17474.389609314
1991,CO2,Industrial processes,Chemical,4053
1991,CO2,Industrial processes,Metallurgy,6954.8018
1991,CO2,Agricuture,Fermentation,0
1991,CO2,Agricuture,Manure,0
1991,CO2,Agricuture,Rice farming,0
1991,CO2,Agricuture,Soil treatment,0
1991,CO2,Agricuture,Fires,0
1991,CO2,Silviculture,Silviculture,122371.723301805
1991,CO2,Waste management,Elimination of solid waste,0
1991,CO2,Waste management,Bio-treatment of solid waste,0
1991,CO2,Waste management,Incineration,124.2350331428
1991,CO2,Waste management,Waste water,0
1991,CH4,Energy,Industrial,62.4751641612
1991,CH4,Energy,Manufacture,78.5548951316
1991,CH4,Energy,Transport,417.4954967825
1991,CH4,Energy,Other,1023.27398124
1991,CH4,Energy,Fugitive emissions,45189.439072553
1991,CH4,Industrial processes,Mineral,0
1991,CH4,Industrial processes,Chemical,73.9906124946
1991,CH4,Industrial processes,Metallurgy,0
1991,CH4,Agricuture,Fermentation,38554.0304771683
1991,CH4,Agricuture,Manure,1142.5012217479
1991,CH4,Agricuture,Rice farming,254.21676
1991,CH4,Agricuture,Soil treatment,0
1991,CH4,Agricuture,Fires,31.5126236517
1991,CH4,Silviculture,Silviculture,819.9258430585
1991,CH4,Waste management,Elimination of solid waste,6427.9837346317
1991,CH4,Waste management,Bio-treatment of solid waste,203.2228548
1991,CH4,Waste management,Incineration,260.9651226
1991,CH4,Waste management,Waste water,7907.0833523679
1991,N2O,Energy,Industrial,173.255070564
1991,N2O,Energy,Manufacture,178.0001963188
1991,N2O,Energy,Transport,954.7616773761
1991,N2O,Energy,Other,365.333109
1991,N2O,Energy,Fugitive emissions,0
1991,N2O,Industrial processes,Mineral,0
1991,N2O,Industrial processes,Chemical,654.906
1991,N2O,Industrial processes,Metallurgy,0
1991,N2O,Agricuture,Fermentation,0
1991,N2O,Agricuture,Manure,6119.434268443
1991,N2O,Agricuture,Rice farming,0
1991,N2O,Agricuture,Soil treatment,44932.1715057842
1991,N2O,Agricuture,Fires,7.6755747609
1991,N2O,Silviculture,Silviculture,83.2127120485
1991,N2O,Waste management,Elimination of solid waste,0
1991,N2O,Waste management,Bio-treatment of solid waste,127.0566
1991,N2O,Waste management,Incineration,88.9002066
1991,N2O,Waste management,Waste water,1313.922596808
1992,CO2,Energy,Industrial,105434.249650671
1992,CO2,Energy,Manufacture,51331.2470590021
1992,CO2,Energy,Transport,93609.4654669969
1992,CO2,Energy,Other,30040.5905415
1992,CO2,Energy,Fugitive emissions,0
1992,CO2,Industrial processes,Mineral,18788.66254503
1992,CO2,Industrial processes,Chemical,4017
1992,CO2,Industrial processes,Metallurgy,6675.2083
1992,CO2,Agricuture,Fermentation,0
1992,CO2,Agricuture,Manure,0
1992,CO2,Agricuture,Rice farming,0
1992,CO2,Agricuture,Soil treatment,0
1992,CO2,Agricuture,Fires,0
1992,CO2,Silviculture,Silviculture,112144.600223966
1992,CO2,Waste management,Elimination of solid waste,0
1992,CO2,Waste management,Bio-treatment of solid waste,0
1992,CO2,Waste management,Incineration,153.7076128836
1992,CO2,Waste management,Waste water,0
1992,CH4,Energy,Industrial,60.3235508022
1992,CH4,Energy,Manufacture,74.2945348611
1992,CH4,Energy,Transport,420.5393859339
1992,CH4,Energy,Other,1033.0308723
1992,CH4,Energy,Fugitive emissions,44357.6156519081
1992,CH4,Industrial processes,Mineral,0
1992,CH4,Industrial processes,Chemical,77.0542059008
1992,CH4,Industrial processes,Metallurgy,0
1992,CH4,Agricuture,Fermentation,37868.96940057
1992,CH4,Agricuture,Manure,1119.4864559553
1992,CH4,Agricuture,Rice farming,294.68124
1992,CH4,Agricuture,Soil treatment,0
1992,CH4,Agricuture,Fires,34.1930669327
1992,CH4,Silviculture,Silviculture,819.9258430585
1992,CH4,Waste management,Elimination of solid waste,6248.9305006515
1992,CH4,Waste management,Bio-treatment of solid waste,204.570828
1992,CH4,Waste management,Incineration,322.87337355
1992,CH4,Waste management,Waste water,8253.4377660071
1992,N2O,Energy,Industrial,170.106472484
1992,N2O,Energy,Manufacture,175.5061233133
1992,N2O,Energy,Transport,958.427769541
1992,N2O,Energy,Other,372.960039
1992,N2O,Energy,Fugitive emissions,0
1992,N2O,Industrial processes,Mineral,0
1992,N2O,Industrial processes,Chemical,340.008
1992,N2O,Industrial processes,Metallurgy,0
1992,N2O,Agricuture,Fermentation,0
1992,N2O,Agricuture,Manure,6020.4622714111
1992,N2O,Agricuture,Rice farming,0
1992,N2O,Agricuture,Soil treatment,44431.0018466763
1992,N2O,Agricuture,Fires,8.32845416
1992,N2O,Silviculture,Silviculture,83.2127120485
1992,N2O,Waste management,Elimination of solid waste,0
1992,N2O,Waste management,Bio-treatment of solid waste,127.0566
1992,N2O,Waste management,Incineration,109.98983055
1992,N2O,Waste management,Waste water,1361.1521117606
1993,CO2,Energy,Industrial,105241.099181075
1993,CO2,Energy,Manufacture,51921.240548822
1993,CO2,Energy,Transport,95744.0538841351
1993,CO2,Energy,Other,31095.0197085
1993,CO2,Energy,Fugitive emissions,0
1993,CO2,Industrial processes,Mineral,20041.551830444
1993,CO2,Industrial processes,Chemical,3205.5
1993,CO2,Industrial processes,Metallurgy,6355.5734
1993,CO2,Agricuture,Fermentation,0
1993,CO2,Agricuture,Manure,0
1993,CO2,Agricuture,Rice farming,0
1993,CO2,Agricuture,Soil treatment,0
1993,CO2,Agricuture,Fires,0
1993,CO2,Silviculture,Silviculture,111768.377964928
1993,CO2,Waste management,Elimination of solid waste,0
1993,CO2,Waste management,Bio-treatment of solid waste,0
1993,CO2,Waste management,Incineration,201.3032300221
1993,CO2,Waste management,Waste water,0
1993,CH4,Energy,Industrial,57.64197117
1993,CH4,Energy,Manufacture,79.8912317994
1993,CH4,Energy,Transport,423.8236662413
1993,CH4,Energy,Other,1041.24424614
1993,CH4,Energy,Fugitive emissions,44710.9539298425
1993,CH4,Industrial processes,Mineral,0
1993,CH4,Industrial processes,Chemical,66.6074886129
1993,CH4,Industrial processes,Metallurgy,0
1993,CH4,Agricuture,Fermentation,37346.80171509
1993,CH4,Agricuture,Manure,1154.8524785015
1993,CH4,Agricuture,Rice farming,166.27632
1993,CH4,Agricuture,Soil treatment,0
1993,CH4,Agricuture,Fires,35.2005736949
1993,CH4,Silviculture,Silviculture,819.9258430585
1993,CH4,Waste management,Elimination of solid waste,6286.7366847503
1993,CH4,Waste management,Bio-treatment of solid waste,210.65226
1993,CH4,Waste management,Incineration,422.8512288
1993,CH4,Waste management,Waste water,12808.0478756339
1993,N2O,Energy,Industrial,171.89197595
1993,N2O,Energy,Manufacture,186.7804667354
1993,N2O,Energy,Transport,1231.2707103209
1993,N2O,Energy,Other,378.149315
1993,N2O,Energy,Fugitive emissions,0
1993,N2O,Industrial processes,Mineral,0
1993,N2O,Industrial processes,Chemical,424.08
1993,N2O,Industrial processes,Metallurgy,0
1993,N2O,Agricuture,Fermentation,0
1993,N2O,Agricuture,Manure,6212.5197015105
1993,N2O,Agricuture,Rice farming,0
1993,N2O,Agricuture,Soil treatment,45260.8327014511
1993,N2O,Agricuture,Fires,0
1993,N2O,Silviculture,Silviculture,8.5738540214
1993,N2O,Waste management,Elimination of solid waste,83.2127120485
1993,N2O,Waste management,Bio-treatment of solid waste,127.0566
1993,N2O,Waste management,Incineration,144.0482208
1993,N2O,Waste management,Waste water,1404.7836957084
1994,CO2,Energy,Industrial,121749.602589912
1994,CO2,Energy,Manufacture,55604.8337166903
1994,CO2,Energy,Transport,100319.744336052
1994,CO2,Energy,Other,31825.877919
1994,CO2,Energy,Fugitive emissions,0
1994,CO2,Industrial processes,Mineral,21568.095906569
1994,CO2,Industrial processes,Chemical,3702
1994,CO2,Industrial processes,Metallurgy,6462.522
1994,CO2,Agricuture,Fermentation,0
1994,CO2,Agricuture,Manure,0
1994,CO2,Agricuture,Rice farming,0
1994,CO2,Agricuture,Soil treatment,0
1994,CO2,Agricuture,Fires,0
1994,CO2,Silviculture,Silviculture,101394.468517558
1994,CO2,Waste management,Elimination of solid waste,0
1994,CO2,Waste management,Bio-treatment of solid waste,0
1994,CO2,Waste management,Incineration,202.8677757092
1994,CO2,Waste management,Waste water,0
1994,CH4,Energy,Industrial,65.5644207204
1994,CH4,Energy,Manufacture,72.8901644055
1994,CH4,Energy,Transport,432.7278289318
1994,CH4,Energy,Other,1050.24416868
1994,CH4,Energy,Fugitive emissions,45953.7925890852
1994,CH4,Industrial processes,Mineral,0
1994,CH4,Industrial processes,Chemical,71.5266465488
1994,CH4,Industrial processes,Metallurgy,0
1994,CH4,Agricuture,Fermentation,37068.46173261
1994,CH4,Agricuture,Manure,1144.2415449965
1994,CH4,Agricuture,Rice farming,247.60008
1994,CH4,Agricuture,Soil treatment,0
1994,CH4,Agricuture,Fires,33.2787824797
1994,CH4,Silviculture,Silviculture,819.9258430585
1994,CH4,Waste management,Elimination of solid waste,6381.1776920911
1994,CH4,Waste management,Bio-treatment of solid waste,212.4567816
1994,CH4,Waste management,Incineration,426.1376574
1994,CH4,Waste management,Waste water,13038.2917202587
1994,N2O,Energy,Industrial,201.023195696
1994,N2O,Energy,Manufacture,174.9393973634
1994,N2O,Energy,Transport,1520.6198164438
1994,N2O,Energy,Other,383.336793
1994,N2O,Energy,Fugitive emissions,0
1994,N2O,Industrial processes,Mineral,0
1994,N2O,Industrial processes,Chemical,464.256
1994,N2O,Industrial processes,Metallurgy,0
1994,N2O,Agricuture,Fermentation,0
1994,N2O,Agricuture,Manure,6187.6605754335
1994,N2O,Agricuture,Rice farming,0
1994,N2O,Agricuture,Soil treatment,0
1994,N2O,Agricuture,Fires,8.1057605897
1994,N2O,Silviculture,Silviculture,83.2127120485
1994,N2O,Waste management,Elimination of solid waste,0
1994,N2O,Waste management,Bio-treatment of solid waste,127.0566
1994,N2O,Waste management,Incineration,145.1677734
1994,N2O,Waste management,Waste water,1449.6613614973
1995,CO2,Energy,Industrial,112087.054328442
1995,CO2,Energy,Manufacture,56394.1574559897
1995,CO2,Energy,Transport,95380.4896012212
1995,CO2,Energy,Other,31280.658585
1995,CO2,Energy,Fugitive emissions,0
1995,CO2,Industrial processes,Mineral,19222.481964701
1995,CO2,Industrial processes,Chemical,3633
1995,CO2,Industrial processes,Metallurgy,6881.0354
1995,CO2,Agricuture,Fermentation,0
1995,CO2,Agricuture,Manure,0
1995,CO2,Agricuture,Rice farming,0
1995,CO2,Agricuture,Soil treatment,0
1995,CO2,Agricuture,Fires,0
1995,CO2,Silviculture,Silviculture,91009.0290782564
1995,CO2,Waste management,Elimination of solid waste,0
1995,CO2,Waste management,Bio-treatment of solid waste,0
1995,CO2,Waste management,Incineration,213.4069182414
1995,CO2,Waste management,Waste water,0
1995,CH4,Energy,Industrial,61.9266923268
1995,CH4,Energy,Manufacture,80.7818550748
1995,CH4,Energy,Transport,413.5256131989
1995,CH4,Energy,Other,1058.01393537
1995,CH4,Energy,Fugitive emissions,45155.7950939981
1995,CH4,Industrial processes,Mineral,0
1995,CH4,Industrial processes,Chemical,76.5724249091
1995,CH4,Industrial processes,Metallurgy,0
1995,CH4,Agricuture,Fermentation,36593.10170313
1995,CH4,Agricuture,Manure,1130.6081087696
1995,CH4,Agricuture,Rice farming,237.34116
