"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2002",17.7,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2003",17.5,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2004",17.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2005",17.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2006",17.8,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2007",17.9,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2008",17.7,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2009",17.8,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2010",17.4,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2011",17.1,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2012",16.8,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2013",16.2,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2014",15.6,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2015",15.7,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2016",15.8,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2017",15.6,
"AUS","AIREMISSION","CO2","TONNE_CAP","A","2018",15.3,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2002",8.4,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2003",9,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2004",9.1,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2005",9.1,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2006",8.8,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2007",8.4,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2008",8.3,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2009",7.5,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2010",8.2,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2011",8,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2012",7.6,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2013",7.6,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2014",7.2,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2015",7.2,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2016",7.1,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2017",7.4,
"AUT","AIREMISSION","CO2","TONNE_CAP","A","2018",7,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2002",10.4,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2003",10.8,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2004",10.7,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2005",10.3,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2006",10,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2007",9.6,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2008",9.7,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2009",9,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2010",9.5,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2011",8.4,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2012",8.3,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2013",8.4,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2014",7.8,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2015",8.3,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2016",8.1,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2017",8,
"BEL","AIREMISSION","CO2","TONNE_CAP","A","2018",7.9,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2002",16.4,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2003",16.9,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2004",16.5,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2005",16.8,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2006",16.3,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2007",17.1,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2008",16.3,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2009",15.3,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2010",15.5,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2011",15.8,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2012",15.5,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2013",15.6,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2014",15.6,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2015",15.6,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2016",15.2,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2017",15,
"CAN","AIREMISSION","CO2","TONNE_CAP","A","2018",15.5,
"CZE","AIREMISSION","CO2","TONNE_CAP","A","2002",11.5,
